20140901,289906601.8282739,296860596.5363196
20140902,274098716.26473254,290225490.8958493
20140903,275151578.750635,285760469.1132956
20140904,251562479.5767946,255983261.61403573
20140905,220600250.94753283,250906055.44827968
20140906,190565003.94031152,187680091.14610577
20140907,191908253.4619529,186078137.10363346
20140908,283093108.727857,316492214.25095844
20140909,286546407.599343,297750156.08356357
20140910,288249489.1764387,301671316.15456355
20140911,256157114.99968162,266320384.89042258
20140912,232687795.37259755,244809155.0913729
20140913,192338312.0569981,174157147.67267087
20140914,206990955.70926437,180428628.66650522
20140915,288781911.8859682,309565878.6764466
20140916,294832519.2405136,297188310.09859127
20140917,286268385.7243512,303797790.1744027
20140918,256831328.05951485,258487328.7262084
20140919,230313503.73199707,242140492.8512023
20140920,188829641.4501121,174112185.3258653
20140921,196364802.38327125,183467532.5299995
20140922,294359423.2750395,312980352.0317997
20140923,291293547.61872,304593326.2663174
20140924,279953023.9209504,308416832.4677481
20140925,259570652.93833634,269302961.4908643
20140926,227638421.67751294,248831241.39992917
20140927,184349697.47998765,178620441.7722563
20140928,192868725.74475738,180504123.08315656
20140929,290579212.42849797,316740310.17023206
20140930,287927439.46821195,296114031.33869845
